🔵 抓取上交所宽基ETF 份额数据（60 个交易日）...
  4/22：宽基ETF 120/823只，净申购 0.0 亿份
  4/23：宽基ETF 120/823只，净申购 -40.36 亿份
  4/24：宽基ETF 120/824只，净申购 -25.69 亿份
  4/27：宽基ETF 120/824只，净申购 -57.84 亿份
  4/28：宽基ETF 121/825只，净申购 -31.91 亿份
  4/29：宽基ETF 121/825只，净申购 -20.3 亿份
  4/30：宽基ETF 121/829只，净申购 -108.36 亿份
  5/6：宽基ETF 121/829只，净申购 -47.18 亿份
  5/7：宽基ETF 121/829只，净申购 -71.05 亿份
  5/8：宽基ETF 121/830只，净申购 -52.28 亿份
  5/11：宽基ETF 121/831只，净申购 -79.1 亿份
  5/12：宽基ETF 121/832只，净申购 -49.96 亿份
  5/13：宽基ETF 121/834只，净申购 -34.51 亿份
  5/14：宽基ETF 121/835只，净申购 -32.55 亿份
  5/15：宽基ETF 121/837只，净申购 -1.82 亿份
  5/18：宽基ETF 121/838只，净申购 -18.23 亿份
  5/19：宽基ETF 121/839只，净申购 -46.79 亿份
  5/20：宽基ETF 120/840只，净申购 -57.32 亿份
  5/21：宽基ETF 121/841只，净申购 2.92 亿份
  5/22：宽基ETF 121/843只，净申购 -18.76 亿份
  5/25：宽基ETF 121/845只，净申购 -86.26 亿份
  5/26：宽基ETF 121/848只，净申购 -16.6 亿份
  5/27：宽基ETF 121/848只，净申购 -8.57 亿份
  5/28：宽基ETF 121/850只，净申购 -7.9 亿份
  5/29：宽基ETF 121/854只，净申购 23.86 亿份
  6/1：宽基ETF 121/856只，净申购 33.54 亿份
  6/2：宽基ETF 121/856只，净申购 -1.34 亿份
  6/3：宽基ETF 121/857只，净申购 -40.16 亿份
  6/4：宽基ETF 121/857只，净申购 -14.78 亿份
  6/5：宽基ETF 121/858只，净申购 7.53 亿份
  6/8：宽基ETF 121/860只，净申购 60.58 亿份
  6/9：宽基ETF 121/860只，净申购 -49.26 亿份
  6/10：宽基ETF 121/860只，净申购 -3.57 亿份
  6/11：宽基ETF 121/860只，净申购 11.78 亿份
  6/12：宽基ETF 121/860只，净申购 9.86 亿份
  6/15：宽基ETF 121/860只，净申购 -17.57 亿份
  6/16：宽基ETF 121/860只，净申购 -19.0 亿份
  6/17：宽基ETF 121/860只，净申购 -40.72 亿份
  6/18：宽基ETF 121/860只，净申购 -29.9 亿份
  6/22：宽基ETF 121/860只，净申购 -14.16 亿份
  6/23：宽基ETF 121/860只，净申购 -41.88 亿份
  6/24：宽基ETF 121/860只，净申购 -56.72 亿份
  6/25：宽基ETF 121/860只，净申购 -68.03 亿份
  6/26：宽基ETF 121/863只，净申购 4.21 亿份
  6/29：宽基ETF 121/863只，净申购 -20.2 亿份
  6/30：宽基ETF 121/865只，净申购 -37.05 亿份
  7/1：宽基ETF 121/865只，净申购 -16.99 亿份
  7/2：宽基ETF 121/865只，净申购 40.89 亿份
  7/3：宽基ETF 121/869只，净申购 -25.79 亿份
  7/6：宽基ETF 121/870只，净申购 -0.23 亿份
  7/7：宽基ETF 121/870只，净申购 33.28 亿份
  7/8：宽基ETF 121/872只，净申购 37.83 亿份
  7/9：宽基ETF 120/876只，净申购 9.81 亿份
  7/10：宽基ETF 121/878只，净申购 -7.66 亿份
  7/13：宽基ETF 121/878只，净申购 95.81 亿份
  ✅ 已保存：data\etf_subscription.json（55 条）
